desktop-one-pool,desktop-many-pools,desktop-many-pools-soa,laptop-one-pool,laptop-many-pools,laptop-many-pools-soa,graphic-one-pool,graphic-many-pools,graphic-many-pools-soa,ray-one-pool,ray-many-pools,ray-many-pools-soa,voxel-one-pool,voxel-many-pools,voxel-many-pools-soa
214954,96198.5,97819.6,281714,104746,105677,245919,87904.3,88166,162756,75686.1,71094.6,236190,77977,79737.1
217762,96568.9,98141.7,284679,105408,107191,247607,88059.1,88623.4,163799,72669.1,71071,236077,80297.2,79498.3
215612,94902.9,95822.3,282363,103047,103488,246667,86542.7,86667.6,162429,71760.1,69440.2,237775,77067.1,77915.1
216799,95450.2,96112.3,283424,104260,103968,248899,86917.9,87344.4,164252,72136.3,69929.2,235953,77462.4,78733.1
217698,95721.2,96917.1,286569,103714,104472,247977,87378.9,87584.9,165187,72347.9,70162.3,235981,77630.9,78963.4
215955,96126,97277.3,285118,103990,105370,247011,87774.7,88355.6,163358,72619.7,70801.9,235710,77953.7,79947
218764,95387.5,96401.8,284773,103528,104202,247736,89529.5,87164.7,164763,72156.1,70460.7,240605,80373.5,78439.7
218379,96414.6,97910.4,284397,104421,106462,247873,88092.1,89007.9,164652,73083.9,71214.1,236401,78265.5,79689.8
218042,94743.8,95617.9,287021,102531,103309,249952,86226.5,86329.6,162721,71608,69267.5,236780,76768.1,77662.2
217059,96308.5,97652.5,283613,104430,105365,246672,87692.3,88126.2,163561,72872.1,70648.7,236115,77867.9,79532.1
218877,96225.9,97152,285821,103827,105091,250619,87600.6,88743.9,167695,73434.9,70710.6,236704,77939.2,79725.5
217238,95618.6,97358.7,283929,103566,104949,247672,87284,88181.1,162231,72715.8,70559.9,235369,77644.1,78870.3
217272,95868.8,97018.8,283815,103684,104927,247642,87765,88132.1,163104,72407.3,70328.6,236181,83127.1,78756.2
219001,96995,98298.8,286056,106176,106089,252244,88955.5,89370.1,164701,72897,71373.3,236815,78623.3,82394.5
218005,97128.6,98806,284558,105242,106894,250999,95478.9,89633.2,166443,73869.9,71665.9,236148,78968.3,80346.5
217363,95629.4,96828.4,285106,105006,104479,246699,87272.8,87506.3,163488,72355.2,70080.6,236436,77701.4,81597
217289,95646.4,97150.3,283469,103747,105453,249991,87402.6,87924.7,164429,72469.5,70106.9,237436,83399.9,79255.8
